"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"2018"	"2018"	1064	4887871	21.8	21.8
	"Alabama"	"01"	"2019"	"2019"	1076	4903185	21.9	22.2
	"Alabama"	"01"	"2020"	"2020"	1141	4921532	23.2	23.6
	"Alabama"	"01"	"2021 "	"2021"	1315	5039877	26.1	26.4
"Total"	"Alabama"	"01"			4596	19752465	23.3	23.5
	"Alaska"	"02"	"2018"	"2018"	155	737438	21.0	21.0
	"Alaska"	"02"	"2019"	"2019"	179	731545	24.5	24.4
	"Alaska"	"02"	"2020"	"2020"	175	731158	23.9	23.5
	"Alaska"	"02"	"2021 "	"2021"	182	732673	24.8	25.2
"Total"	"Alaska"	"02"			691	2932814	23.6	23.6
	"Arizona"	"04"	"2018"	"2018"	1147	7171646	16.0	15.3
	"Arizona"	"04"	"2019"	"2019"	1136	7278717	15.6	15.1
	"Arizona"	"04"	"2020"	"2020"	1265	7421401	17.0	16.7
	"Arizona"	"04"	"2021 "	"2021"	1365	7276316	18.8	18.3
"Total"	"Arizona"	"04"			4913	29148080	16.9	16.4
	"Arkansas"	"05"	"2018"	"2018"	573	3013825	19.0	18.9
	"Arkansas"	"05"	"2019"	"2019"	580	3017804	19.2	19.3
	"Arkansas"	"05"	"2020"	"2020"	673	3030522	22.2	22.6
	"Arkansas"	"05"	"2021 "	"2021"	698	3025891	23.1	23.3
"Total"	"Arkansas"	"05"			2524	12088042	20.9	21.0
	"California"	"06"	"2018"	"2018"	3040	39557045	7.7	7.5
	"California"	"06"	"2019"	"2019"	2945	39512223	7.5	7.2
	"California"	"06"	"2020"	"2020"	3449	39368078	8.8	8.5
	"California"	"06"	"2021 "	"2021"	3576	39237836	9.1	9.0
"Total"	"California"	"06"			13010	157675182	8.3	8.1
	"Colorado"	"08"	"2018"	"2018"	889	5695564	15.6	15.2
	"Colorado"	"08"	"2019"	"2019"	846	5758736	14.7	14.2
	"Colorado"	"08"	"2020"	"2020"	922	5807719	15.9	15.4
	"Colorado"	"08"	"2021 "	"2021"	1064	5812069	18.3	17.8
"Total"	"Colorado"	"08"			3721	23074088	16.1	15.6
	"Connecticut"	"09"	"2018"	"2018"	186	3572665	5.2	4.9
	"Connecticut"	"09"	"2019"	"2019"	190	3565287	5.3	5.3
	"Connecticut"	"09"	"2020"	"2020"	219	3557006	6.2	6.0
	"Connecticut"	"09"	"2021 "	"2021"	248	3605597	6.9	6.7
"Total"	"Connecticut"	"09"			843	14300555	5.9	5.7
	"Delaware"	"10"	"2018"	"2018"	107	967171	11.1	11.6
	"Delaware"	"10"	"2019"	"2019"	93	973764	9.6	9.9
	"Delaware"	"10"	"2020"	"2020"	135	986809	13.7	14.4
	"Delaware"	"10"	"2021 "	"2021"	158	1003384	15.7	16.6
"Total"	"Delaware"	"10"			493	3931128	12.5	13.2
	"District of Columbia"	"11"	"2018"	"2018"	125	702455	17.8	16.7
