"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	790	4430141	17.8	17.7
	"Alabama"	"01"	"2000"	"2000"	766	4447100	17.2	17.2
	"Alabama"	"01"	"2001"	"2001"	737	4467634	16.5	16.4
	"Alabama"	"01"	"2002"	"2002"	724	4480089	16.2	16.1
	"Alabama"	"01"	"2003"	"2003"	765	4503491	17.0	16.9
	"Alabama"	"01"	"2004"	"2004"	679	4530729	15.0	14.8
	"Alabama"	"01"	"2005"	"2005"	736	4569805	16.1	16.0
	"Alabama"	"01"	"2006"	"2006"	780	4628981	16.9	16.8
	"Alabama"	"01"	"2007"	"2007"	812	4672840	17.4	17.3
	"Alabama"	"01"	"2008"	"2008"	820	4718206	17.4	17.3
	"Alabama"	"01"	"2009"	"2009"	830	4757938	17.4	17.2
	"Alabama"	"01"	"2010"	"2010"	782	4779736	16.4	16.2
	"Alabama"	"01"	"2011"	"2011"	785	4802740	16.3	16.0
	"Alabama"	"01"	"2012"	"2012"	831	4822023	17.2	17.1
	"Alabama"	"01"	"2013"	"2013"	860	4833722	17.8	17.6
	"Alabama"	"01"	"2014"	"2014"	815	4849377	16.8	16.9
	"Alabama"	"01"	"2015"	"2015"	958	4858979	19.7	19.6
	"Alabama"	"01"	"2016"	"2016"	1046	4863300	21.5	21.5
	"Alabama"	"01"	"2017"	"2017"	1124	4874747	23.1	22.9
	"Alabama"	"01"	"2018"	"2018"	1064	4887871	21.8	21.8
	"Alabama"	"01"	"2019"	"2019"	1076	4903185	21.9	22.2
	"Alabama"	"01"	"2020 "	"2020"	1141	4921532	23.2	23.6
"Total"	"Alabama"	"01"			18921	103604166	18.3	18.2
	"Alaska"	"02"	"1999"	"1999"	88	624779	14.1	15.8
	"Alaska"	"02"	"2000"	"2000"	116	626932	18.5	17.9
	"Alaska"	"02"	"2001"	"2001"	95	633714	15.0	14.9
	"Alaska"	"02"	"2002"	"2002"	127	642337	19.8	19.9
	"Alaska"	"02"	"2003"	"2003"	120	648414	18.5	19.5
	"Alaska"	"02"	"2004"	"2004"	117	659286	17.7	17.5
	"Alaska"	"02"	"2005"	"2005"	116	666946	17.4	17.5
	"Alaska"	"02"	"2006"	"2006"	111	675302	16.4	17.1
	"Alaska"	"02"	"2007"	"2007"	120	680300	17.6	18.1
	"Alaska"	"02"	"2008"	"2008"	142	687455	20.7	21.0
